item_id,question_id,domain,subcategory,difficulty,empirical_hardness,empirical_hardness_obs,empirical_accuracy,answer_type,question_text,participant_answer,participant_confidence,notes
HB_EXP1_0142,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new intern, whom the CEO recruited last month, are very skilled.'","'are' should be 'is' — 'intern' is the singular subject, 'whom the CEO recruited' is a non-restrictive clause",0.71,
HB_EXP1_0143,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you drop me a line when you're free to talk?',Could you please respond when you are available to discuss?,0.71,
HB_EXP1_0144,linguistic_v2_ambiguity_resolution_0028,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two interpretations of: 'The new curriculum is impacting the students who are in their final year.',(1) The new curriculum is having an impact on the students who are in their final year of study; (2) The new curriculum is impacting the students in a way that is in its final year (less likely),0.71,
HB_EXP1_0145,linguistic_v2_grammar_correction_0040,linguistic,grammar_correction,,1.0,4,0.0,short_text,"Identify the grammatical error in: 'The new student, along with the rest of the class, are presenting the project.'","'are' should be 'is' — subject-verb agreement, 'student' is the singular subject",0.71,
HB_EXP1_0146,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'What's the haps, dude?'",How are you doing today?,0.71,
HB_EXP1_0147,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Which reading of the sentence 'The book is on the shelf with the empty space' is more natural given the context that the book is describing its location?,The book is on the shelf that has an empty space.,0.71,
HB_EXP1_0148,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The company will reward all staff who are working on the Smith account whom have exceeded their targets.',"'whom have' should be 'who have' — 'who' is the subject of the clause, not 'whom'",0.71,
HB_EXP1_0149,linguistic_v2_register_formality_0031,linguistic,register_formality,,1.0,5,0.0,short_text,"Rewrite in formal register: 'You'll do great, John!'",I have every confidence in your success.,0.71,
HB_EXP1_0150,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,What are two possible meanings of the sentence: 'The teacher gave the student a book with a pen.',(1) The teacher gave the student a book and a pen; (2) The book the teacher gave had a pen inside.,0.71,
HB_EXP1_0151,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new analyst, who the team leader trained last quarter, are very efficient.'","'are' should be 'is' — 'analyst' is the singular subject, 'who the team leader trained' is a non-restrictive clause",0.71,
HB_EXP1_0152,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,"What's good, bro?",How are you doing today?,0.71,
HB_EXP1_0153,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The firefighter rescued the child from a ladder.',(1) The firefighter used a ladder to rescue the child; (2) The firefighter rescued a child who was on a ladder.,0.71,
HB_EXP1_0154,linguistic_v2_grammar_correction_0049,linguistic,grammar_correction,,1.0,5,0.0,short_text,What is the grammatical error in: 'The hotel's promise is to provide it's guests with a comfortable stay.',"'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'",0.71,
HB_EXP1_0155,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Is saying 'I'm gonna grab a snack' formal?,No,0.71,
HB_EXP1_0156,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The director is meeting with the actors who are on the picket line.',(1) The director is having a meeting with the actors who are currently on the picket line; (2) The director is meeting with the actors to discuss the picket line.,0.71,
HB_EXP1_0157,linguistic_v2_grammar_correction_0045,linguistic,grammar_correction,,1.0,5,0.0,short_text,"Identify the error in: 'The manager, along with the staff, are responsible.'",'are' should be 'is' — the subject is singular,0.71,
HB_EXP1_0158,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you ring me back when you have a moment?',Could you please contact me when you have a spare moment?,0.71,
HB_EXP1_0159,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Provide two distinct interpretations of the sentence: 'The principal is speaking with the parents who are on the school board.',(1) The principal is having a conversation with the parents who are currently on the school board; (2) The principal is speaking with the parents to discuss the school board.,0.71,
HB_EXP1_0160,linguistic_v2_grammar_correction_0048,linguistic,grammar_correction,,1.0,4,0.0,short_text,"Identify the grammatical error in: 'By next year, they will have been living in Paris for two years.'",Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by next year' indicates a future time,0.71,
HB_EXP1_0161,linguistic_v2_register_formality_0012,linguistic,register_formality,,1.0,9,0.0,short_text,Want to come to the party?,"Yes, I want to come to the party.",0.71,
HB_EXP1_0162,linguistic_v2_ambiguity_resolution_0022,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Give two interpretations of: 'I'm looking for a pen to write with.',(1) I'm searching for a pen that I can use to write with; (2) I'm looking for a pen with which to write (formal or old-fashioned usage).,0.71,
HB_EXP1_0163,linguistic_v2_grammar_correction_0045,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The university has accepted thousands of applicants, but the dean says they is still admitting.'","'they is' should be 'they are' — subject-verb agreement, 'they' is a plural subject",0.71,
HB_EXP1_0164,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,Is the phrase 'I'm really looking forward to the party' suitable for a formal legal brief?,No,0.71,
HB_EXP1_0165,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The engineer designed the bridge with a computer.',(1) The engineer used a computer to design the bridge; (2) The engineer designed a bridge that had a computer.,0.71,
HB_EXP1_0166,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The painting, which is on the wall, are for sale.'","'are' should be 'is' — the subject of the sentence is 'the painting', which is singular, so the verb should agree with it in number.",0.71,
HB_EXP1_0167,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I am pleased to announce the forthcoming birthday celebration of my respected neighbor.',I'm super happy to announce my neighbor's upcoming birthday party!,0.71,
HB_EXP1_0168,linguistic_v2_ambiguity_resolution_0027,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,What does 'The journalist interviewed the politician with a microphone' mean in a normal conversation?,The journalist interviewed the politician using a microphone.,0.71,
HB_EXP1_0169,linguistic_v2_grammar_correction_0045,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the error in: 'The new employee, along with the team, are in control.'",'are' should be 'is' — the subject is singular,0.71,
HB_EXP1_0170,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I am pleased to announce the forthcoming promotion of my talented coworker.',I'm really happy to announce my coworker's upcoming promotion!,0.71,
HB_EXP1_0171,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,What are two possible meanings of: 'The boy waved at the girl with a book.',(1) The boy waved at the girl while holding a book; (2) The boy waved at the girl who had a book.,0.71,
HB_EXP1_0172,linguistic_v2_grammar_correction_0042,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'The software company will have been developing apps for 25 years by the time it launches its new product.',Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time it launches its new product' indicates a future time,0.71,
HB_EXP1_0173,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Is 'I'm gonna grab a snack' a good thing to say to your boss?,No,0.71,
HB_EXP1_0174,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Give two interpretations of: 'The visitor was shown around the museum by a guide.',(1) The visitor was led around the museum by a guide; (2) The visitor was shown the guide (a person) around the museum (less likely).,0.71,
HB_EXP1_0175,linguistic_v2_grammar_correction_0049,linguistic,grammar_correction,,1.0,5,0.0,short_text,What is the grammatical error in: 'The charity's goal is to serve it's beneficiaries with compassion and care.',"'it's' should be 'its' — 'its' shows possession, 'it's' is a contraction of 'it is'",0.71,
HB_EXP1_0176,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I am thrilled to announce the forthcoming graduation of my distinguished friend.',I'm really stoked to announce my friend's upcoming graduation!,0.71,
HB_EXP1_0177,linguistic_v2_ambiguity_resolution_0028,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two interpretations of: 'The revised policy is affecting the staff members who are under 30.',(1) The revised policy is having an impact on the staff members who are under 30 years old; (2) The revised policy is affecting the staff members in a way that is under 30 (less likely),0.71,
HB_EXP1_0178,linguistic_v2_grammar_correction_0047,linguistic,grammar_correction,,1.0,5,0.0,short_text,"What is the grammatical error in: 'The new designer, whom the art director hired last year, are very creative.'","'are' should be 'is' — 'designer' is the singular subject, 'whom the art director hired' is a non-restrictive clause",0.71,
HB_EXP1_0179,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I appreciate your support during this challenging time.',Thanks for being there for me.,0.71,
HB_EXP1_0180,linguistic_v2_ambiguity_resolution_0027,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,Provide two distinct interpretations of the sentence: 'The instructor is guiding the students with their English essays.',(1) The instructor is helping the students with their English essays; (2) The instructor is guiding the students who have English essays (less likely),0.71,
HB_EXP1_0181,linguistic_v2_grammar_correction_0019,linguistic,grammar_correction,,1.0,13,0.0,short_text,What is the grammatical error in the sentence: 'The team are going to the game.','team' is a singular noun and 'are' should be 'is',0.71,
HB_EXP1_0182,linguistic_v2_register_formality_0039,linguistic,register_formality,,1.0,5,0.0,short_text,What's the scoop?,Could you please provide me with the information?,0.71,
HB_EXP1_0183,linguistic_v2_ambiguity_resolution_0020,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two distinct interpretations of the sentence: 'The chef cooked the vegetables with a knife.',(1) The chef used a knife to cook the vegetables; (2) The chef cooked vegetables that had a knife nearby.,0.71,
HB_EXP1_0184,linguistic_v2_grammar_correction_0044,linguistic,grammar_correction,,1.0,5,0.0,short_text,Identify the grammatical error in: 'Each team member must bring they're own smartphone to the conference.',"'they're' should be 'their' — 'they're' is a contraction of 'they are', whereas 'their' is the possessive form of 'they'",0.71,
HB_EXP1_0185,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you shoot me a message when you have time?',Could you please contact me at your earliest opportunity?,0.71,
HB_EXP1_0186,linguistic_v2_ambiguity_resolution_0022,linguistic,ambiguity_resolution,,1.0,5,0.0,short_text,Provide two interpretations of: 'He's searching for a marker to color with.',(1) He's searching for a marker that he can use to color with; (2) He's looking for a marker with which to color (formal or old-fashioned usage),0.71,
HB_EXP1_0187,linguistic_v2_grammar_correction_0048,linguistic,grammar_correction,,1.0,4,0.0,short_text,"Identify the grammatical error in: 'By the time she graduates, they will have been working for five years.'",Should use the simple future tense 'will be' instead of the future perfect 'will have been' — 'by the time' indicates a future time,0.71,
HB_EXP1_0188,linguistic_v2_register_formality_0033,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in informal register: 'I am grateful for your guidance throughout this project.',"Thanks for your guidance, it really helped.",0.71,
HB_EXP1_0189,linguistic_v2_ambiguity_resolution_0025,linguistic,ambiguity_resolution,,1.0,4,0.0,short_text,What are two possible meanings of: 'The dad called the boy with a ball.',(1) The dad called the boy while the boy was holding a ball; (2) The dad called the boy who had a ball.,0.71,
HB_EXP1_0190,linguistic_v2_grammar_correction_0048,linguistic,grammar_correction,,1.0,4,0.0,short_text,Find the error in: 'My friend give me a book.',"'give' should be 'gives' — the verb tense in the sentence is in the present simple tense, so the verb 'give' should be in the present tense 'gives'.",0.71,
HB_EXP1_0191,linguistic_v2_register_formality_0035,linguistic,register_formality,,1.0,5,0.0,short_text,Rewrite in formal register: 'Can you get back to me when you're available?',Could you please respond when it is convenient for you?,0.71,
HB_EXP1_0192,linguistic_v2_ambiguity_resolution_0024,linguistic,ambiguity_resolution,,1.0,6,0.0,short_text,Which reading of the sentence 'The student is in the class with the teacher' is more natural given the context that the student is describing their school day?,The student is in the class that has a teacher.,0.71,
HB_EXP1_0193,logical_v2_conditional_reasoning_0014,logical,conditional_reasoning,,0.9166666666666666,12,0.08333333333333333,short_text,"If it is raining, the ground will be wet. The ground is wet. Is it raining?",Not necessarily,0.71,
HB_EXP1_0194,logical_v2_proof_evaluation_0040,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All amphibians undergo metamorphosis. Frogs are amphibians. Conclusion: Frogs undergo metamorphosis. What is wrong?,"The conclusion is actually correct, there is no error in this statement as all amphibians undergo metamorphosis.",0.71,
HB_EXP1_0195,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the popcorn is popping, the popper will rattle. The popper is currently rattling. Is the popcorn popping?",Yes,0.71,
HB_EXP1_0196,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All multiples of 5 are integers. 20 is a multiple of 5. Is 20 an integer?,Yes,0.71,
HB_EXP1_0197,logical_v2_proof_evaluation_0042,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All people who can cook have a cooking certification. My sister has a cooking certification. Conclusion: My sister can cook. What is wrong?,Having a cooking certification does not necessarily mean someone can cook — they may have never cooked before.,0.71,
HB_EXP1_0198,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the coffee is brewing, the machine will gurgle. The machine is currently gurgling. Is the coffee brewing?",Yes,0.71,
HB_EXP1_0199,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All odd numbers are integers. 9 is an odd number. Is 9 an integer?,Yes,0.71,
HB_EXP1_0200,logical_v2_proof_evaluation_0042,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All dogs need water. This animal is a dog. Conclusion: This animal needs water. What is wrong?,"Nothing, the conclusion is correct based on the premise.",0.71,
HB_EXP1_0201,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the radio is fully powered, it will play music. The radio is currently playing music. Is the radio fully powered?",Yes,0.71,
HB_EXP1_0202,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All mammals are animals. A snake is not a mammal. Is a snake an animal?,Yes,0.71,
HB_EXP1_0203,logical_v2_proof_evaluation_0046,logical,proof_evaluation,,1.0,10,0.0,short_text,Premise: All planets in our solar system have moons. This celestial body does not have a moon. Conclusion: This celestial body is not a planet in our solar system. What is wrong?,"The conclusion logically follows from the premise, but the premise assumes that all planets in our solar system have moons, which may not be true (e.g., Mercury and Venus do not have moons).",0.71,
HB_EXP1_0204,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the eggs are cooked, the timer will beep. The timer is currently beeping. Are the eggs cooked?",Yes,0.71,
HB_EXP1_0205,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All bestselling books are books. 'The Great Gatsby' is not a bestselling book. Is 'The Great Gatsby' a book?,Yes,0.71,
HB_EXP1_0206,logical_v2_proof_evaluation_0046,logical,proof_evaluation,,1.0,10,0.0,short_text,Premise: All numbers divisible by 2 are even. 10 is divisible by 2. Conclusion: 10 is even. What is wrong?,"The premise is actually correct, but the conclusion is correct too, the problem is with the example: 10 is indeed even, but the conclusion is not wrong, the mistake is in the example, 10 is not the best example to test this premise.",0.71,
HB_EXP1_0207,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the fire is burning, the alarm will sound. The alarm is currently sounding. Is the fire burning?",Yes,0.71,
HB_EXP1_0208,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All perfect squares are integers. 16 is a perfect square. Is 16 an integer?,Yes,0.71,
HB_EXP1_0209,logical_v2_proof_evaluation_0047,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All buildings can provide shelter. This structure is a bridge. Conclusion: This bridge can provide shelter. What is wrong?,"The premise is correct, but the second premise is incorrect as bridges are not buildings.",0.71,
HB_EXP1_0210,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the battery is fully charged, the phone will turn on. The phone is currently on. Is the battery fully charged?",Yes,0.71,
HB_EXP1_0211,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All rectangles are shapes. A circle is not a rectangle. Is a circle a shape?,Yes,0.71,
HB_EXP1_0212,logical_v2_proof_evaluation_0040,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All birds fly. Penguins are birds. Conclusion: Penguins fly. What is wrong?,Not all birds fly — penguins are birds that do not fly.,0.71,
HB_EXP1_0213,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the tablet is fully charged, it will turn on. The tablet is currently on. Is the tablet fully charged?",Yes,0.71,
HB_EXP1_0214,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All even numbers are integers. 10 is an even number. Is 10 an integer?,Yes,0.71,
HB_EXP1_0215,logical_v2_proof_evaluation_0047,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All people who are 21 or older can buy liquor. My 20-year-old sister cannot buy liquor. Conclusion: My sister is not 21 or older.,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone cannot buy liquor.",0.71,
HB_EXP1_0216,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the water tank is full, the fountain will operate. The fountain is currently operating. Is the water tank full?",Yes,0.71,
HB_EXP1_0217,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All prime numbers are integers. 7 is a prime number. Is 7 an integer?,Yes,0.71,
HB_EXP1_0218,logical_v2_proof_evaluation_0041,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All planets in our solar system have rings. Earth is a planet in our solar system. Conclusion: Earth has rings. What is wrong?,"The premise is incorrect, as not all planets in our solar system have rings (e.g., Earth).",0.71,
HB_EXP1_0219,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the brakes are engaged, the car will stop. The car has stopped. Are the brakes engaged?",Yes,0.71,
HB_EXP1_0220,logical_v2_set_relations_0024,logical,set_relations,,0.8333333333333334,12,0.16666666666666666,short_text,All numbers divisible by 3 are integers. 12 is a number divisible by 3. Is 12 an integer?,Yes,0.71,
HB_EXP1_0221,logical_v2_proof_evaluation_0043,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All countries in Asia use the Japanese Yen. South Korea is in Asia. Conclusion: South Korea uses the Japanese Yen.,Not all countries in Asia use the Japanese Yen — South Korea uses the South Korean Won.,0.71,
HB_EXP1_0222,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the door is unlocked, you can enter. The door is unlocked. Can you enter?",Yes,0.71,
HB_EXP1_0223,logical_v2_proof_evaluation_0047,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All people who are 65 or older get a senior discount. My 62-year-old aunt does not get a senior discount. Conclusion: My aunt is not 65 or older.,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone does not get a senior discount.",0.71,
HB_EXP1_0224,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the laundry is done, the washer will chime. The washer is currently chiming. Is the laundry done?",Yes,0.71,
HB_EXP1_0225,logical_v2_proof_evaluation_0044,logical,proof_evaluation,,1.0,12,0.0,short_text,Premise: All cars have wheels. This bike is a car. Conclusion: This bike has wheels. What is wrong?,"The premise is correct, but the first part of the second premise is incorrect as bikes are not cars.",0.71,
HB_EXP1_0226,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the light is on, the room is bright. The light is on. Is the room bright?",Yes,0.71,
HB_EXP1_0227,logical_v2_proof_evaluation_0049,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All triangles have four sides. An equilateral triangle is a triangle. Conclusion: An equilateral triangle has four sides. What is wrong?,"Not all triangles have four sides — by definition, a triangle has three sides.",0.71,
HB_EXP1_0228,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the water is boiling, the kettle will whistle. The kettle is currently whistling. Is the water boiling?",Yes,0.71,
HB_EXP1_0229,logical_v2_proof_evaluation_0047,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All people who are 25 or older can join a gym. My 22-year-old brother cannot join a gym. Conclusion: My brother is not 25 or older.,"The conclusion is correct, but the premise does not necessarily imply the conclusion, there could be other reasons why someone cannot join a gym.",0.71,
HB_EXP1_0230,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the temperature is above 30°F, the water is liquid. The temperature is 31°F. Is the water liquid?",Yes,0.71,
HB_EXP1_0231,logical_v2_proof_evaluation_0040,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All cats are pets. My cat is a cat. Conclusion: My cat is a pet. What is wrong?,Nothing is wrong with this conclusion.,0.71,
HB_EXP1_0232,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the laptop is fully booted, the screen will display the desktop. The screen is currently displaying the desktop. Is the laptop fully booted?",Yes,0.71,
HB_EXP1_0233,logical_v2_proof_evaluation_0049,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All trapezoids have seven sides. An isosceles trapezoid is a trapezoid. Conclusion: An isosceles trapezoid has seven sides. What is wrong?,"Not all trapezoids have seven sides — by definition, a trapezoid has four sides.",0.71,
HB_EXP1_0234,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the eggs are cooked, the timer will beep. The timer is currently beeping. Are the eggs cooked?",Yes,0.71,
HB_EXP1_0235,logical_v2_proof_evaluation_0042,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All chairs have legs. This is a chair. Conclusion: This has legs. What is wrong?,"Nothing, the conclusion is correct based on the premise.",0.71,
HB_EXP1_0236,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the car has enough gas, it will start. The car is currently running. Does the car have enough gas?",Yes,0.71,
HB_EXP1_0237,logical_v2_proof_evaluation_0044,logical,proof_evaluation,,1.0,12,0.0,short_text,Premise: All dogs have tails. My neighbor's dog is a dog. Conclusion: My neighbor's dog has a tail. What is wrong?,Not all dogs have tails — some dogs may be born without or lose their tails due to injury or illness.,0.71,
HB_EXP1_0238,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the valve is open, the water will flow. The water is currently flowing. Is the valve open?",Yes,0.71,
HB_EXP1_0239,logical_v2_proof_evaluation_0042,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All people who can fly have a pilot's license. David has a pilot's license. Conclusion: David can fly. What is wrong?,Having a pilot's license does not necessarily mean someone can fly — they may have never flown before.,0.71,
HB_EXP1_0240,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the phone is ringing, the bell will chime. The bell is currently chiming. Is the phone ringing?",Yes,0.71,
HB_EXP1_0241,logical_v2_proof_evaluation_0049,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All cats are animals. This pet is a cat. Conclusion: This pet is not an animal. What is wrong?,"The premise is correct, but the conclusion is incorrect as it contradicts the premise that cats are animals.",0.71,
HB_EXP1_0242,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If it is daytime, the park is open. It is daytime. Is the park open?",Yes,0.71,
HB_EXP1_0243,logical_v2_proof_evaluation_0040,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All cars have wheels. My car is a car. Conclusion: My car has wheels. What is wrong?,Nothing is wrong with this conclusion.,0.71,
HB_EXP1_0244,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the popcorn is popping, the popper will rattle. The popper is currently rattling. Is the popcorn popping?",Yes,0.71,
HB_EXP1_0245,logical_v2_proof_evaluation_0044,logical,proof_evaluation,,1.0,12,0.0,short_text,Premise: All cars have four wheels. My brother's vehicle is a car. Conclusion: My brother's vehicle has four wheels. What is wrong?,"Not all cars have four wheels — some cars, like concept cars or experimental vehicles, may have a different number of wheels.",0.71,
HB_EXP1_0246,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the coffee is brewing, the machine will gurgle. The machine is currently gurgling. Is the coffee brewing?",Yes,0.71,
HB_EXP1_0247,logical_v2_proof_evaluation_0043,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All cities in Australia use the Australian dollar. Perth is in Australia. Conclusion: Perth uses the Australian dollar.,Not all cities in Australia use the Australian dollar is not the issue; the issue is that the premise is not incorrect in this case. The issue is with the original question.,0.71,
HB_EXP1_0248,logical_v2_propositional_logic_0013,logical,propositional_logic,,1.0,5,0.0,short_text,"If the pump is functioning, the irrigation system will activate. The irrigation system is currently active. Is the pump functioning?",Yes,0.71,
HB_EXP1_0249,logical_v2_proof_evaluation_0040,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All reptiles lay eggs. Turtles are reptiles. Conclusion: Turtles lay eggs. What is wrong?,"The conclusion is actually correct, but there is a counterexample among mammals: platypus and echidna are mammals that lay eggs.",0.71,
HB_EXP1_0250,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If it is raining, the ground is wet. It is raining. Is the ground wet?",Yes,0.71,
HB_EXP1_0251,logical_v2_proof_evaluation_0046,logical,proof_evaluation,,1.0,10,0.0,short_text,Premise: All prime numbers are odd. This number is even. Conclusion: This number is not prime. What is wrong?,"The conclusion logically follows from the premise, but the premise assumes that all prime numbers are odd, which may not be true (e.g., 2 is a prime number and is even).",0.71,
HB_EXP1_0252,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the toast is toasted, the toaster will ding. The toaster is currently dinging. Is the toast toasted?",Yes,0.71,
HB_EXP1_0253,logical_v2_proof_evaluation_0043,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All countries in Europe use the Euro. The UK is in Europe. Conclusion: The UK uses the Euro. What is wrong?,Not all countries in Europe use the Euro — the UK uses the Pound Sterling.,0.71,
HB_EXP1_0254,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the cat is sleeping, it is quiet. The cat is sleeping. Is the cat quiet?",Yes,0.71,
HB_EXP1_0255,logical_v2_proof_evaluation_0047,logical,proof_evaluation,,1.0,5,0.0,short_text,Premise: All vehicles can carry people. This object is a painting. Conclusion: This painting can carry people. What is wrong?,"The premise is correct, but the second premise is incorrect as paintings are not vehicles.",0.71,
HB_EXP1_0256,logical_v2_propositional_logic_0018,logical,propositional_logic,,1.0,5,0.0,short_text,"If the light is on, the room is bright. The light is on. Is the room bright?",Yes,0.71,
HB_EXP1_0257,procedural_v2_algorithm_execution_0004,procedural,algorithm_execution,,1.0,5,0.0,short_text,"What is the state of the stack after one iteration of the recursive binary search algorithm on the array [1, 2, 3, 4] searching for the target 4?",[4],0.71,
